adr;uhaH aps;u
rodasI pipqtam
vizv;azcandrAH m;aDvaH
iva zrit;am
vahanti v;i
y;at any;Asu
raZyav;AcaH Barante
n;qBiH ajanat
azv;inoH c;Aru
Av;iH D;enAH
;agram c;arati
puruD;A jajAna
miSati sur;aZaH
vaste purur;UpA
dv;e v;asumatI
D;enAH akqZot
p;ari eti
naH rAy;e
agn;iH rakSati
kav;iH aDvar;asya
v;ipraH padav;IH
vipazc;itAm vim;Anam
kr;atvA r;odasI
dev;aH qtup;AH
sum;anAH yakSi
nindit;A m;artyeSu
sarv;atAtA zqZ;otu
d;ame agn;im
;agram zqZIhi
sasqje daMs;anAvAn
aB;iSwizavase s;a
y;at ;azocat
viz;Am ut;a
rAranD;i s;avaneSu
prasav;am y;aTA
v;asUni mah;at
vqZe t;A
tvA ahih;atye
prapitv;am hinv;anti
;adrim zamAy;e
jAtavedaH tisr;aH
agn;iH sanoti
zun;am huvema
z;arman ;A
yaj;aTAya dev;AH
sut;am naH
m;armqzat p;arAZi
sady;aH apibaH
madanti ukS;aZaH
;agne svaDvar;A
asya k;Ame
y;asmin v;izvAH
sinDavaH tr;iH
;aMzam n;a
Diy;A s;am
vIx;ayasva m;A
v;asavaH sunIT;AH
purupriy;aH Bandate
zl;okam ;azreH
v;ahatAm indra
;agne juS;asva
qBavaH mAdayaDvam
g;uhA dv;e
;ojaH ;A
hary;an arocayaH
vqtraKAd;aH valaMruj;aH
;indra h;avante
saMd;qzaH cakAn;aH
puraet;A viz;Am
mam;atuH yajY;iyasya
pqTiv;I ant;arikSam
mar;utvAn ;A
samAny;A v;iyute
iva n;ihite
vim;ocanam vAj;inaH
syAt asm;e
v;ipraH nady:aH
qt;AvA s;a
y;oSA j;animAni
me c;akSuH
r;odasI mahim;Anam
vqtr;am ;adaDuH
jigAti h;otAram
;amatim b;ADamAnaH
aB;i dyumn;Ani
Az;um dUt;am
anamIv;AH ;iSaH
niSS;iDvarIH te
t;amasi kSiy;antam
y;uvAnam y;asya
te barh;iH
akar ih;eha
vrat;ena n;a
dev;eSu am;qtam
avAsayaH d;amUnAH
haryazva yajY;EH
ah;am h;i
acaSwa qt;asya
yAt;a z;IBam
v;arSiSWasya praj;AvataH
sah;avIram turAsaH
gqZIt;aH pr;AcI
;indraH pAtaly:e
;oSaDIH s;am
sahasaH putra
v;i rAjasi
kavIn;Am manoD;qtaH
dev;asya vAj;inaH
ant;ar kqSZ;An
dev;AH UrDv;am
te brahmay;ujA
s;am carete
prasav;aH s;argataktaH
st;omam me
g;opatiH g;AH
ray;im naH
yajY;am vid;aTeSu
u vAm
vAj;I aruS;aH
;adrayaH p;ari
tveS;aH s;a
hiraZy;ayam ut;a
any;A vAm
j;areTAm asm;at
k;AvyAni vidv;An
mah;An ;amatraH
;ut gotr;AZi
p;invamAnAH mah;I
mAdayaDvam UrDv;agrAvAZaH
cit azvinA
id;am B;Aratam
t;Am asm;aByam
;adAByaH puraet;A
naH vocatu
raT;IH say;ujaH
daMs;anAvAn s;aKA
naH varDaya
;agne v;iprAya
r;etasaH d;uGAnAH
vats;am B;arati
sAt;aye takSata
z;am naH
cake y;eBiH
vigAh;am t;UrZim
praj;ananam kqt;am
;A te
didIhi ;ixAm
yajY;eSu vqkt;abarhiSaH
kqZvAn;aH tanv:am
j;EtrIH asacanta
viveda zaP;avat
ket;uH agne
agn;im dev;azravAH
v;acasA saty;am
jAnanti mahin;A
s;A te
;anu svaD;Am
zay;uH par;astAt
sar;aTam sut;e
B;avantI ;At
Badr;am s;adA
m;artyaH kS;ayam
akS;aram pad;e
dev;eBiH mahaya
te vay;am
zqZv;e vIr;aH
;aCa p;ibAsi
;Ize br;ahmaZA
ihi vqtraKAd;aH
srav;ataH ;A
s;Uryasya duhit;A
pakv;am carati
zrayasva vanaspate
m;edaH ;udBqtam
vaD;ena vavriv;AMsam
naH pipqhi
tv;aSwA savit;A
paZ;eH manIS;Am
naH anapaty;Ani
;A yAhi
stok;AH ;aDi
zr;avasA t;uYjamAnAH
aB;i AruH
qt;AvA dev;aH
juSasva pr;AYcam
t;A minanti
pr;a im;am
aDvar;asya ket;um
citr;Aya razm;ayaH
san;atA n;a
v;iprAsaH jAt;avedasaH
sat;aH-sataH pratim;Anam
iva kSitIn;Am
jan;uSA r;odasI
n;a jAt;am
indra dyum;antam
mat;im jy;otiH
;indra rAy;aH
;udite boDi
B;agam ca
AsAm padav;IH
ruhema y;am
naH zqZvantu
m;ade cyAv;ayasi
zutudr;I p;ayasA
;ixAyAH putr;aH
vay;une ajaniSwa
v;arpaZItiH ;ahan
m;ahi jy;otiH
asya duSw;araH
r;odasI mahitv;A
Gqt;asya v;qSA
sunv;anti s;omam
UrDv;am maDuD;A
ut;a qt;uBiH
pqTiv;Im dy;Am
uruvy;acAH pqZatAm
r;atnam akqta
yuvAnA n;AsatyA
deva dev;An
;indraH B;agaH
s;a ket;uH
hit;am g;uhyam
h;avyaH matIn;Am
ca baBre
sas;Ana ;atyAn
ray;im sah;avIram
tur;Ipam ;aDa
mimIhi zr;avAMsi
v;apUMSi jAt;A
rocate ;azvaH
dugD;aH aMz;uH
puruD;a pr;asUtaH
ca t;uByam
vipany;avaH jAgqv;AMsaH
yaz;asaH s;am
s;omapItaye ;indram
y;aTA te
ap;asaH manIS;A
g;arBam ;A
tan;USu agn;im
;indram ;anu
pqTiv;Im vizv;aDAyAH
mah;e v;AjAya
D;anAnAm ;indra
yaj;aTAya vakSi
;apa avqZot
n;ihite d;arzi
sad;qzIH adDi
vAj;ayan ih;a
;aCa y;at
p;arvatasya iva
naH pazum;An
g;AvaH pr;a
n;qtamam gIrB;iH
m;ahi tvASwr;am
dUr;At ;anasA
asyati n;a
havy;Ani aDvar;eSu
sudIt;im agn;im
sUno ;Ahutam
DIt;iBiH ;qkvAZaH
kSitIn;Am d;EvInAm
rIraman y;ajamAnAsaH
dev;avItO B;ava
s;adanam s;am
viDanta Dar;uZeSu
ca jAgqve
n;ABA sapt;azIrSAZam
rArantu te
DIt;ayaH qt;asya
v;i te
prav;Acyam zazvaD;A
juh;omi havy;am
n;ame g;oH
tok;avat puSwim;at
;aBavaH ;ati
n;a marDanti
niy;utaH naH
nqc;akSAH vizv;AmitraH
te m;anaH
cakre arv;Ak
zakt;im namasy;antIH
sacanta vidy;utaH
iva n;ityam
sv;aravaH naH
pradakSiZ;it aB;i
pqT;unA z;ozucAnaH
avantu pqtan;AjyeSu
d;uhAnA ant;ar
rucayanta rok;AH
;A dUt;aH
n;a prapitv;am
mah;aH mah;adByAm
;A tasTO
r;ajAMsi AVgUS;aH
t;uByam v;iprAH
te agne
Ay;uSu j;anAya
tv;am dehi
asya vqSaB;asya
vrat;Ani yuy;ota
t;aviSIBiH ;Avqtam
;Ixate zukr;am
svaD;Am ;asat
vaH dev;Im
;amimIta mAt;ari
praTam;A v;i
v;ahantIH qt;asya
ukSatam m;aDvA
sv;AH y;An
n;a siMh;aH
;arvA vyAnaz;iH
v;izvA ;it
;uparAH tasTuH
apqZat r;odasI
;indram s;omAsaH
;iSaH purUc;IH
b;iBrat aB;i
paTy:A k;A
t;Atqpim ;indra
te ady;a
st;omam jarit;uH
vqdD;am ;indram
;upa n;u
h;i sT;aH
p;ari any;e
mandr;ataraH cikitv;An
n;i tvA
v;iprAH yajY;EH
;aDa poSayitn;u
h;arivratam vEzvAnar;am
vaH n;araH
saj;oSAH ;indra
s;OBagA saMjigIv;An
mah;I dasm;asya
v;eH samAn;ena
h;otA mandr;aH
azyAm s;adanam
devay;adBiH s;amidDaH
antar;A parAv;atam
v;irUpe y;aTA
v;asvaH B;UrIZi
asmay;uH vaso
;indram ;upa
samr;Aw qt;AvarIH
t;am pAtam
parAv;atam arvAv;atam
Barat;asya putr;AH
;A tvA
vizv;ajanyAm Den;uH
prAtaHsAv;e DiyAvaso
s;am viviktaH
suz;armaZaH bqhat;aH
vrat;Ani dev;AH
yay;ATa dUr;At
br;ahma vanvAn;aH
;avaH Imahe
p;ari ;AyuH
indrAvaruZA v;asu
apUp;am adDi
;Ixyam jAtavedaH
te astu
t;Ani v;edasA
asi vqSaBa
nad;InAm dev;aH
mar;utaH indra
yAhi agne
dAD;Ara y;aH
hav;iSmantaH t;am
sapt;ajihvAH dy;OH
vividv;An ;At
t;am te
Bajate gehy:am
cit ;UDar
zr;avoBiH pqTiv;Im
agne vqSaB;aH
svapaty;e ;Ayuni
z;azvatIH ;ati
yamy:A v;apUMSi
s;avane vajrahasta
p;UrvAsu ;aparAH
dev;eSu aDvar;am
devatr;A kSetras;ADasaH
dasm;e ant;ar
yaviSWya t;at
qt;asya buDn;e
prav;idA ;anu
gatam sut;am
;azvEH suv;qtA
kuzikAH somy;am
;iSaH s;am
sv;asarasya p;atnI
ISuH m;ayaH
tar;aZim vIx;ujamBam
s;atvaBiH g;AH
yanti DIt;ayaH
;atra yamas;UH
v;edaH nEcAzAK;am
;arZaH ojAy;amAnam
iva kAr;iZaH
s;am asm;aByam
mah;An g;arBaH
;adevam y;ajAmaH
zatakrato ;indra
v;iBaktA BAg;am
hav;irBiH ;Ixe
n;amaH asya
D;amantIH ;ekaH
h;arI r;aTasya
Ut;aye ap;Am
yakSat dev;atAtA
v;i jAt;am
tv;at h;otA
n;i sIm
astu haryat;aH
ay;am u
k;Amam ;avyan
somy;asya y;at
im;am zqZutam
niSS;iDaH m;artyeSu
zr;iyaH dy;Am
;A sAdaya
t;UrZyarTaH vqSAy;amAZaH
miy;eDe niSAd;ayantaH
atirat d;Asam
mah;I s;am
siMh;aH vEzvAnar;aH
val;aH indra
kqDi naH
s;adma v;i
j;Uryatsu agn;iH
m;A y;AmAt
;antamaH svast;aye
enam ap;asaH
;upa yanti
kav;ayaH suyajY;AH
;aMhaH aznoti
pr;a te
svapasy;ayA kav;iH
;asazcantI pIp;ayat
cakre puruD;apratIkaH
zr;eSWam naH
vqkS;am pakv;am
y;e s;anti
zast;am jAy;A
;aTa Bava
vAvqDe v;arDaneBiH
aDvar;Aya p;ari
gahi saKy;eBiH
amitrAy;uDaH mar;utAm
jAt;avedasam raT;IH
dyum;at agne
s;uSutasya c;AroH
purAZ;am ;aDi
Anaz;a y;ABiH
div;aH qYj;anti
BUSaTaH s;adAMsi
indra svar;Aw
yajY;AnAm ;aTa
v;izvAn biBarti
agne vizv;AmitreSu
;aTa h;i
naH b;alam
dADAra pqTiv;Im
;ayanam iC;amAnAH
v;aruZasya mAy;A
u priy;AH
ant;ar mah;I
puruhUt;am suvqkt;iBiH
y;ena m;AsAn
zUra r;ADase
maGavan s;A
naH pracod;ayAt
mAt;aram ;annam
caranti b;iBratam
juSasva ;qtAvaH
suv;Iryasya t;uvidyumna
mUrD;Anam div;aH
tv;e pUrv;IH
maG;Ani sahasrasAv;e
zrayasva mahat;e
vAm samiT;e
pur;astAt agn;im
agn;iH uS;asaH
d;amUnAH pr;a
asya mah;at
pav;itrEH dy;uBiH
dAz;uSaH duroZ;e
vAjay;antaH p;uraMDyA
purAZ;I devi
dev;AH dev;AnAm
hariSW;Am in;atamaH
r;atnam ut;a
tir;a stavAna
any;ayA sPigy:A
vizv;AmitrAya d;adataH
sady;aH jAt;aH
vartayAmasi arvAc;Inam
naH ;indra
vAvqDAn;aH ;ojasA
v;iprAH v;AjEH
t;ejase s;a
carati sv;arociH
zoc;iH v;asAnaH
vanDureSW;AH t;ava
asTAt ;aBUt
vidv;An pr;ati
;indram jy;ESWyAya
anugm;an saty;am
dadqze v;izvam
;anuttAH m;ahi
Aj;O z;ayAnam
stok;AnAm agne
Avividr;e ;qtAvarI
agn;iH baBUva
AGqZe suSwut;iH
pr;a n;u
tvAy;avaH hav;iSmantaH
kSiy;antam ;indraH
y;ajamAnasya sIda
;ApaH cit
agqBZata dev;eByaH
vyUS;uH mah;at
y;AH jAm;ayaH
purudasm;am ark;AH
dev;AsaH agn;im
v;asuDitI jihAte
s;am inDate
maG;avA t;arutraH
;AyuH varD;ayan
vqSaB;aH vizv;arUpaH
qtv;ijam ;agne
yuDm;asya te
mah;aH pit;uH
j;anima s;anAni
agne purud;aMsam
vid;aTe pur;UZi
juS;asva indra
jAt;avedAH g;arBaH
Dehi spandan;e
c;arantam s;aKiBiH
agne j;anima
;aCa putr;am
mah;I y;adi
t;am Ixate
n;a hanyate
m;edasaH Gqt;asya
Urv;e am;qtam
;A tiSWa
aganma sUr;eH
daDATe tr;IZi
D;anAnAm t;iSWa
;oSaDISu aps;u
t;avyAn n;a
val;am nunud;e
hav;iSmantaH Ixate
D;IrAH atqndan
naH devatr;A
y;uvAnaH Adity;AsaH
ap;asaH daDanvire
loD;am nayanti
h;otA naH
sanit;uH niD;Anam
uB;aye havante
asya zur;uDaH
aznotu kukSy;oH
p;atyamAnAH tr;iH
pr;a-pra any;e
ant;arikSam saj;oSasaH
maK;asya te
agn;aye Barata
jan;ayan jant;ave
vid;aTe p;atyamAnaH
jan;ayanta dev;AH
mah;ayamAnaH Ut;I
s;a im;am
;ajmam p;ari
y;eBiH v;qSaparvA
h;ariByAm pr;a
vivipre ;indrasya
sv;azvyam d;aDAtu
m;aryAH qt;ajAtAH
anayanta zUS;am
vidD;i t;asya
qSv;aH qB;uH
sasav;An s;an
tvA vavqmahe
im;am jaW;are
sud;qzam gqZ;antaH
et;A te
tisr;aH mah;IH
s;omam apibat
;atra m;anasA
svaD;ABiH ;At
zukr;A v;asAnAH
pqtan;Ajye pqtsut;UrSu
ava yajY;iyaH
m;aDyam pr;ati
s;inDum arZav;am
agn;iH jajYe
;avase havAmahe
v;izvam saty;am
papiv;An qjISin
m;artyeSu kv:a
anavaBr;arADasaH g;antAraH
n;i veveti
aDvar;am vAvazAn;AH
pqTiv;I can;a
v;asupatim v;asUnAm
BUSaTaH t;at
devAH B;avaTa
Druv;am patyate
g;Am hiraZy;ayam
pr;a me
v;aso r;Asva
g;arBam darzat;am
ark;EH kqZvAn;AsaH
Barat;AH gavy;avaH
sady;aH y;at
pqTivy;AH y;aTA
qB;uBiH vAj;iBiH
naH mitr;aH
havante ;ApUrZaH
jAt;aH vqSaB;aH
aDvaryo pr;ati
div;e-dive h;aryazvaprasUtAH
dy;Am ;indraH
;aBavan gaZ;aH
vAvqDAn;aH B;UridAtraH
d;ahan jAt;aH
;aCa samudr;am
aB;isqSwaH asm;e
pqCa j;anima
vipazc;itam pit;aram
d;Asam ark;EH
j;anitrI mah;aH
B;ava naH
vikS;u ap;Am
ut;a smayete
yajY;iyaH s;an
ih;a z;oZA
asmE Gqt;avat
m;anovAtAH ;aDa
jah;i r;akSaH
y;e Ar;uH
varD;ayan aB;imAtIH
g;uhyam Av;iH
pUrv;IH tisr;aH
aB;Ike im;AH
samudr;am n;a
ih;a v;i
rihAZ;e v;ipAw
sam;iDA n;Akam
tvA v;iprAH
zatakrato y;A
kr;atum puSyasi
;aCa ay;am
tvA gaBIr;aH
jAnat;IH pr;ati
d;eva svaDAvaH
sIm arohat
;astaBnAt s;inDum
stut;aH sam;iDA
ca vAG;ataH
y;asmin anavady;AH
vizv;ataH vAjas;anim
;arTam h;i
vaha dev;An
y;at asyAm
mitr;asya t;A
k;AyamAnaH van;A
naH ;atra
kqSZ;am any;at
s;OBagasya rAy;aH
Adity;aH n;amasA
y;ajaDyE ;aCa
z;ami ;aCa
kuzik;AsaH ;A
any;aH qnD;an
vIx;O sat;IH
DqSZ;u ;ojaH
;aCa paTy:A
jihv;AyAH ;agram
asya niSS;iDaH
veda yajY;am
tv;Am dUt;am
d;akSiZe d;akSiZAvAn
rudr;iyAH varS;anirZijaH
zAmbar;e harivaH
n;a minanti
yAhi t;Uyam
kqZvAn;AH saKy;A
tvA p;ari
im;am st;omam
adr;uhA vedy;ABiH
uzat;e jaB;Ara
sv;AhA rarim;a
asacanta spqDAn;am
y;azaH vAm
br;ahmaZA te
aviSaH ukT;eSu
avadaH vqtrah;A
zaMsanti n;amasA
qt;asya saMd;qzaH
v;AZIH parikS;itA
;anu h;i
rAjaTaH dr;AGiSWABiH
naH ;adediSwa
v;ahniH Avar
s;ukqtA pur;UZi
;A siYcasva
agn;iH Bavati
B;uvanA s;am
te tiSWantAm
maGavan m;A
biBarti mitr;aH
gIrB;iH ;ixayA
v;astrAZi ;arjunA
pr;a ;asqjaH
k;Avyena pit;uH
mitr;aH baB;Uva
ut;a im;e
v;arDanti prasv:aH
bqh;at mandr;am
viBAt;IH ;anu
kS;ayaH mAt;uH
dv;ArA t;amasaH
;A eBiH
D;IraZAsaH sas;Ana
g;oSu vIr;An
dev;AsaH ;Ixyam
n;avyase vavqtyAm
yahv;aH c;araZam
v;i mumucaH
dev;Im ;ut
zat;aDAram ;utsam
mAdayasva g;avAziram
m;anuSaH dev;atAtaye
;A avavqtran
Adity;EH naH
vqzc;a Im
sumat;iH Gqt;AcI
raTy:A iva
vidaTy:Aya zUS;am
any;A vats;am
sumat;O yajY;iyasya
s;uSutam B;arantaH
st;omataSwAH ;indra
sODanvan;AsaH amqtatv;am
Gn;antam vqtr;AZi
Azata ;A
baBUva z;avasA
pur;u cit
s;am ca
pur;UZi vqj;anena
Bandate D;AmaBiH
cit m;anasA
yuvat;I B;avantI
r;atnA viDanta
mar;utaH te
prAc;A ahinvan
r;akSa ca
asy;AH uS;asaH
n;i kar
h;arI s;aKAyA
mandr;EH indra
m;aDumantam kqDi
st;omeSu vqtrahan
ap;Adam indra
aDvar;A iva
n;a ;ahA
samr;Aw ;anu
kan;InaH pr;aBartum
stot;A jarit;A
v;izve jAnanti
z;uciH qSv;aH
juS;asva naH
vAvqDe vIry:Aya
m;aDUnAm ;A
sumat;im n;ikAmaH
div;aH savit;A
t;uYjamAnAH aB;i
h;i tujat;aH
y;atamAnAH ;amqDrAH
tvA mat;ayaH
indra aDit;iSWan
m;ADyaMdinasya s;avanasya
rAy;A B;UyasA
kqSZ;An aruS;EH
s;A ;it
rUp;aM-rUpam maG;avA
tv;am ;A
p;arvatAH nin;ame
maG;am s;a
kAr;uDAyAH ;ahan
biBarti qt;am
mar;udBiH s;omam
arv;AV yAhi
;ekam vIr;asya
v;i jajYe
u te
cakarTa brahmadv;iSe
yajY;am azret
t;ava BAgaD;eyam
somap;eyam priy;A
dakSiZAv;Aw vAj;inI
Dart;A div;aH
k;Amam mandaya
v;asu svay;uH
;anupakSitam ;A
yATa sar;aTam
t;iSWa s;u
tvA s;adasi
vqkZ;AsaH ;aDi
;indrasya z;arDaH
dev;AsaH ih;a
kqZavAma s;omEH
naH ay;am
agn;iH Diy;A
ur;O mah;An
vaso jarit;qByaH
gavy;an gr;AmaH
;Ahutam mAmahasva
asm;e sanaj;A
saD;asTam ;A
sum;anAH asi
y;oH agn;im
;ava jIhipaH
sIm ajIjanan
pUrvy;am sIm
asmE m;ahi
saKy;am vazmi
ut;a p;arvatAnAm
s;Uryasya maMh;anA
yug;Ani ukT;eSu
sv;asAraH agr;uvaH
;indrAya zast;am
m;anasA jaganv;An
saD;asTe y;uvA
aDvar;eSu pr;a
pur;u zcandr;am
udv;ataH niv;ataH
sIm ;indraH
Ut;iBiH saraZy;an
boBavIti mAy;AH
y;at vA
n;araH devay;antaH
v;asAnAH sv;aravaH
p;ari t;am
y;asmin r;AyaH
vqSaBa saty;azuSmaH
Dehi t;eByaH
v;areZyam asy;a
br;ahmaZA v;andamAnaH
AkS;it p;UrvAsu
saDr;IcIH asqjat
azyAm y;AH
ay;am s;aH
BAn;avaH B;AqjIkam
pr;ati DAn;AH
saDam;Ade m;aDUnAm
ant;ar im;am
Ixe kav;ikratum
n;a gardaB;am
v;asAnaH carati
y;Antam uB;aye
yuvat;ayaH j;anitrIH
purox;Azam ;Ahutam
t;e s;adasi
vAm ceti
pUrB;it ;A
mitr;asya carSaZID;qtaH
zazvac;E te
n;a dUr;At
ih;a st;omam
zl;okam ;adreH
kavIn;Am ut;a
vidv;An mah;at
gahi parAv;ataH
BAsi pUrv;IH
jAt;aH ;oSaDIBiH
am;qtam ajury;am
pr;a sugop;AH
j;inva v;AjAn
kavayaH c;Aru
pur;ohitaH tisr;aH
svasAraH kAr;ave
n;i eSu
jAgqv;AMsaH s;am
pr;a majm;anA
v;izvAH ;A
janayanta c;ittiBiH
;qkvAZaH agn;im
v;arpaH k;arikrat
SoX;A yukt;AH
s;uDitA agn;eH
h;otqBiH hav;iSmate
devatv;am qBavaH
yAhi yajY;iyam
gahi aB;i
rAy;aH Ize
ca asaparyan
s;inDum mAt;qtamAm
DAn;AH s;avane
iSaZya im;am
ajury;AH dev;AH
v;apUMSi ;aCa
aB;i s;omam
pr;ayasvAn y;aH
namov;qDA mahn;A
agne hav;iSmatIm
purox;Azam indra
s;aKiBiH n;avagvEH
y;aTA v;eH
;atra Den;avaH
r;odasI citr;am
rodasI pr;a
;ekaH mitr;asya
;amatim b;ADamAnA
n;u D;armaZi
gir;A yajY;asya
yaja cikitvaH
BUy;Ama te
ady;a tvA
;A sadat
v;Ajam ;agne
tisr;aH Aj;AnIH
supr;atUrtim aneh;asam
;ekam mAt;A
sug;An paT;aH
;aDi kS;ami
t;ava Ga
asi aDvar;e
u y;oniH
purukS;oH sv;adasva
s;arImaZi sunirm;aTA
am;qtAH mAdayantAm
s;a rocayat
arvAv;ataH naH
;azvAt nayanti
nqp;ezasaH vid;aTeSu
s;adanam y;aTA
suvit;Aya pr;a
dy;AvApqTiv;I vizv;ajanye
h;otrA B;AratI
pit;arA mah;ayan
t;e svAn;inaH
agn;iH pAvak;aH
sunirm;aTA n;irmaTitaH
;indum indra
buDn;e uS;asAm
zr;ayamAZaH pur;astAt
;A vizv;arUpaH
vqzcati uK;A
kav;ikratum agn;im
h;otAram z;ucim
sukr;atum DiS;aZe
duSw;araH t;aran
p;Ati dev;AnAm
suket;avaH uS;asaH
me gqZIhi
Adity;AnAm ahve
c;Arum pr;a
sudAnU ;azvinA
agr;uvaH samIc;IH
r;ajAMsi ;A
;anasA r;aTena
ray;im bahul;am
br;ahmajUtaH tanv:A
z;IBam ;ut
;oSaDIBiH vavakSe
iyarmi ;aCa
cakAra dev;eByaH
vay;am vAjay;antaH
;A d;uvaH
ant;ar dUt;aH
sudIt;im uz;ijam
pAvak;aH suyajY;aH
;ahA v;izvA
BAn;uH arZav;aH
duroZ;e sut;AvataH
im;e vAm
ark;AH B;agasya
;asi zrit;aH
dyum;at asm;e
u zakra
s;am I
cit ;A
rarim;a h;i
;anu G;oSam
v;iSite h;AsamAne
mahim;Anam mam;Ate
sapary;U jav;ase
raZanti divor;ucaH
vaH v;AjAH
Imahe im;am
B;AratI d;akSiZABiH
BAti dev;I
qt;ena UrDv;AH
;ati durit;A
zUra jinva
yajY;asya jUty;A
m;artaH astu
apAr;e Urv;e
y;eBiH svarv;it
g;iram m;ama
agn;im t;am
naH sasarpar;IH
aBavat pur;ohitaH
dev;AnAm ;anu
sap;atnI z;ucaye
te ;indra
c;araZam s;Uryasya
;ixAm agne
;aCa aguH
z;avasaH p;atim
v;ahnim cakarTa
yuvat;ayaH s;ayonIH
y;oniH qtv;iyaH
daDiSv;a jaW;are
;A s;a
;A vaH
vant;AraH bqhat;aH
t;A n;amasA
id;am aDim;anTanam
;ekAm ;adaDuH
aYj;anti pUrvy;am
zIr;am pAvak;azociSam
cikitv;An sady;aH
y;asya s;omaH
tisr;aH dev;IH
iSir;aH d;amUnAH
;indraH hary;antam
qjISin ;indra
Ay;at ant;ar
te saKy;am
tanv:am B;Uri
;aDi j;AtavedaH
;agne m;ahi
naH pqTiv;Im
dr;uhaH v;i
s;A p;ayasA
somap;eyAya DqSZo
DAt pUSaZv;antaH
r;odasI d;akSam
mA ;qSim
tvA Barat;AH
pqkS;aprayajaH draviZaH
indra havAmahe
aDvary;uH iSir;aH
vaH kavayaH
;avarDan y;e
yaman v;im
samAn;am ;arTam
m;ahi p;ATaH
avady;At n;i
D;armaBiH ;indra
;adrayaH im;A
h;i ;anu
adDi s;agaZaH
jUt;iBiH vqD;e
vavakSiTa ;aTa
sah;adAnum puruhUta
v;icarSaZiH agn;iH
pr;ati yan
mAtar;izvA div;i
saDam;AdaH vahantu
dr;AGiSWABiH zucivratA
meDira ;ojiSWam
aDvar;am ;agne
;indram sacante
kav;ayaH gqZanti
z;UrasAtO vavandir;e
Ize pUrv;IH
;indrAgnI jarit;uH
paTy:AH ;anu
;indram ;ahnaH
dev;Aya agn;aye
dev;am m;artAsaH
iva mAt;arA
s;omam s;agaZaH
hotar sv;e
en;A vay;am
v;i p;AjasA
kqSw;iSu s;A
qjISin vim;ucya
j;Ayate ukTy:aH
uzat;I up;asTAt
asmE aramanta
n;araH cit
cit ;indraH
upat;iSWante ;ApaH
t;am citr;ayAmam
dy;Am vqSaB;aH
duvasyan bqh;antaH
harya puruSwuta
p;Atav;E u
aps;u ant;ar
gotr;AZi sasqje
vqSan v;qSaZaH
zr;oSamAZAH asm;An
s;amidDaH mitr;aH
ca ;ati
Imahe p;qSadazvAsaH
puruhUt;am D;amantIH
zuBr;ayAmA uS;asaH
;A vqSasva
g;oH g;uhA
cikitv;An rayiv;it
c;AruH suh;avaH
mitr;Aya havy;am
havyav;AhaH havante
;At asm;aByam
indra g;avAziram
juSasva gqZat;aH
rakSante n;ihitam
daDe am;qtam
n;i gavyat;A
barh;aZAH ;A
s;adane ;A
pur;u v;asUni
suv;IraH y;ena
ur;u ant;arikSam
Ah;uH v;iprAsaH
Gqt;ayonim viD;antam
aB;i vip;azyati
m;A tvA
Bavasi y;at
puruhUta priy;eBiH
h;otAram sAdayante
s;omasya vAvqDe
iva cinvat;I
miTun;A sacete
urviy;A v;i
y;onim dev;akqtam
s;aKiBiH sut;am
D;anva iva
pit;uH n;a
p;anyaH ady;a
pr;a yaMsi
tamoh;anA t;apuSaH
pazyanti mAy;inaH
somapate p;iba
asAdayanta tv;Am
r;odasI apqZAH
d;akSiZAH asya
d;amyam jAt;avedasam
urv;I ant;ar
v;AjeSu daDqS;am
Dehi tan;USu
arZav;aH nqc;akSAH
;ekam n;AnA
aB;i sAsah;iH
vAvazAn;AH ;agne
d;akSiZAyAH ;A
pIp;ayat deva
punanti D;ArayA
s;a g;arBam
h;aritaH v;qSA
Ayan uS;AsaH
;aCa s;inDum
sudinatv;e ;ahnAm
vEzvAnar;am m;anasA
itT;A Diy;A
samiDAn;e agn;O
padav;IH aboDi
ay;A pAtam
enam nayat
ix;A s;am
v;areZyam vqZIm;ahe
im;am indra
sAdaya pAy;aya
somaD;AnAH s;am
Ap;iH ;avasaH
saj;oSasaH aDvar;am
mat;iH carati
zoc;iSA agn;im
s;am indra
puruhUt;Aya s;aptI
v;ipram ukTy:am
m;ADyaMdinam s;avanam
te jihv;A
vedy;ABiH n;a
agn;im ;avase
uS;asaH c;ekitAnaH
dy;uBiH dev;eBiH
;ahim vivqzc;at
me ;indram
tvA suK;e
viBv:aH d;amUnAH
tqp;at ;A
n;a v;Ajam
pqTivy;Am vAG;adBiH
g;arBam daDire
kqSw;IH y;asya
DAn;AH ;attave
te z;uSmam
sahasvaH ;agne
daDiSva duSw;aram
n;a kr;andan
qSv;aH agn;iH
;asurasya n;Ama
pr;acetAH t;anA
puruz;AkAya v;qSZe
te kqZvanti
g;oqjIkA m;aDUni
sud;AsaH r;AjA
m;AnuSIZAm t;UrZiH
yAtay;ajjanaH gqZat;e
pr;a ;it
tqSw;am vavakSiTa
vIx;ujamBam d;aza
dev;An ih;a
s;avanam juSAZ;aH
;upa naH
tv;Am aDvar;e
Ut;aye sam;atsu
;ayAmi te
;indra sv;AhA
azamiSWAH prajAn;an
pit;araH g;oSu
kAr;iZaH y;Amani
vIxita vIx;ayasva
barh;iH AnuS;ak
h;otAram Ixate
;IxyaH zoc;iSkezaH
s;Uryasya y;AH
t;anA n;i
;indraH vIx;O
naH sum;eke
